===========================================================================================================================================================================================================================
      RP |      scs |        k |    theta |      psi | st_1_deg | st_2_deg | st_3_deg | da_1_deg | da_2_deg | da_3_deg | dd_1_deg | dd_2_deg | dd_3_deg | st_1_rad | st_2_rad | st_3_rad | da_1_rad | da_2_rad | da_3_rad | dd_1_rad | dd_2_rad | dd_3_rad | RP_z_deg | RP_z_rad | Tot_z_deg | Tot_z_rad
5.0000 | 0.0100 | 7.0000 | 10.0000 | 0.1000 | 350.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 80.0000 |    NaN | 1.0000 | 6.1170 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.3982 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.4558 | 0.4562
6.0000 | 0.0100 | 7.0000 | 10.0000 | 0.1000 | 359.0000 | 189.8967 | 0.4697 | 40.0000 | 64.8055 | 0.2756 | 89.0000 | 279.8967 | 0.5303 | 6.2743 | 3.3189 | 0.4704 | 0.6991 | 1.1326 | 0.2760 | 1.5555 | 4.8918 | 0.5310 | 0.4252 | 0.4258 | 0.4558 | 0.4562
1.0000 | 0.0100 | 10.0000 | 10.0000 | 0.1000 | 87.0000 | 280.8870 | 0.5386 | 89.0000 | 88.4547 | 0.0061 | 177.0000 | 10.8870 | 0.4614 | 1.5205 | 4.9091 | 0.5393 | 1.5555 | 1.5459 | 0.0061 | 3.0935 | 0.1903 | 0.4621 | 0.3354 | 0.3358 | 0.4047 | 0.4050
2.0000 | 0.0100 | 10.0000 | 10.0000 | 0.1000 | 4.0000 | 356.6260 | 0.9795 | 89.0000 | 85.1445 | 0.0428 | 94.0000 | 86.6260 | 0.0205 | 0.0699 | 6.2328 | 0.9809 | 1.5555 | 1.4881 | 0.0429 | 1.6429 | 1.5140 | 0.0205 | 0.3476 | 0.3481 | 0.4047 | 0.4050
3.0000 | 0.0100 | 10.0000 | 10.0000 | 0.1000 | 339.0000 | 351.3567 | 0.0343 | 87.0000 | 89.9840 | 0.0332 | 69.0000 | 81.3567 | 0.0343 | 5.9248 | 6.1407 | 0.0344 | 1.5205 | 1.5727 | 0.0332 | 1.2059 | 1.4219 | 0.0344 | 0.0339 | 0.0340 | 0.4047 | 0.4050
4.0000 | 0.0100 | 10.0000 | 10.0000 | 0.1000 | 102.0000 | 251.5855 | 0.4155 | 86.0000 | 88.4448 | 0.0272 | 192.0000 | 341.5855 | 0.4155 | 1.7827 | 4.3970 | 0.4161 | 1.5030 | 1.5458 | 0.0272 | 3.3556 | 5.9700 | 0.4161 | 0.2861 | 0.2865 | 0.4047 | 0.4050
5.0000 | 0.0100 | 10.0000 | 10.0000 | 0.1000 | 350.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 80.0000 |    NaN | 1.0000 | 6.1170 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.3982 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.4047 | 0.4050
6.0000 | 0.0100 | 10.0000 | 10.0000 | 0.1000 | 359.0000 | 189.8967 | 0.4697 | 40.0000 | 64.8055 | 0.2756 | 89.0000 | 279.8967 | 0.5303 | 6.2743 | 3.3189 | 0.4704 | 0.6991 | 1.1326 | 0.2760 | 1.5555 | 4.8918 | 0.5310 | 0.4252 | 0.4258 | 0.4047 | 0.4050
1.0000 | 0.0100 | 13.0000 | 10.0000 | 0.1000 | 87.0000 | 280.8847 | 0.5386 | 89.0000 | 89.9490 | 0.0105 | 177.0000 | 10.8847 | 0.4614 | 1.5205 | 4.9091 | 0.5393 | 1.5555 | 1.5721 | 0.0105 | 3.0935 | 0.1902 | 0.4621 | 0.3368 | 0.3373 | 0.3990 | 0.3994
2.0000 | 0.0100 | 13.0000 | 10.0000 | 0.1000 | 4.0000 | 356.6260 | 0.9795 | 89.0000 | 85.1445 | 0.0428 | 94.0000 | 86.6260 | 0.0205 | 0.0699 | 6.2328 | 0.9809 | 1.5555 | 1.4881 | 0.0429 | 1.6429 | 1.5140 | 0.0205 | 0.3476 | 0.3481 | 0.3990 | 0.3994
3.0000 | 0.0100 | 13.0000 | 10.0000 | 0.1000 | 339.0000 | 351.3567 | 0.0343 | 87.0000 | 89.9840 | 0.0332 | 69.0000 | 81.3567 | 0.0343 | 5.9248 | 6.1407 | 0.0344 | 1.5205 | 1.5727 | 0.0332 | 1.2059 | 1.4219 | 0.0344 | 0.0339 | 0.0340 | 0.3990 | 0.3994
4.0000 | 0.0100 | 13.0000 | 10.0000 | 0.1000 | 102.0000 | 251.5855 | 0.4155 | 86.0000 | 88.4448 | 0.0272 | 192.0000 | 341.5855 | 0.4155 | 1.7827 | 4.3970 | 0.4161 | 1.5030 | 1.5458 | 0.0272 | 3.3556 | 5.9700 | 0.4161 | 0.2861 | 0.2865 | 0.3990 | 0.3994
5.0000 | 0.0100 | 13.0000 | 10.0000 | 0.1000 | 350.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 80.0000 |    NaN | 1.0000 | 6.1170 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.3982 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.3990 | 0.3994
6.0000 | 0.0100 | 13.0000 | 10.0000 | 0.1000 | 359.0000 | 177.8249 | 0.5033 | 40.0000 | 24.7293 | 0.1697 | 89.0000 | 267.8249 | 0.4967 | 6.2743 | 3.1079 | 0.5039 | 0.6991 | 0.4322 | 0.1699 | 1.5555 | 4.6808 | 0.4974 | 0.3899 | 0.3904 | 0.3990 | 0.3994
1.0000 | 0.0100 | 16.0000 | 10.0000 | 0.1000 | 87.0000 | 280.8864 | 0.5386 | 89.0000 | 89.7963 | 0.0088 | 177.0000 | 10.8864 | 0.4614 | 1.5205 | 4.9091 | 0.5393 | 1.5555 | 1.5694 | 0.0088 | 3.0935 | 0.1903 | 0.4621 | 0.3363 | 0.3367 | 0.5183 | 0.5186
2.0000 | 0.0100 | 16.0000 | 10.0000 | 0.1000 | 4.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 94.0000 |    NaN | 1.0000 | 0.0699 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.6429 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.5183 | 0.5186
3.0000 | 0.0100 | 16.0000 | 10.0000 | 0.1000 | 339.0000 | 351.3567 | 0.0343 | 87.0000 | 89.9840 | 0.0332 | 69.0000 | 81.3567 | 0.0343 | 5.9248 | 6.1407 | 0.0344 | 1.5205 | 1.5727 | 0.0332 | 1.2059 | 1.4219 | 0.0344 | 0.0339 | 0.0340 | 0.5183 | 0.5186
4.0000 | 0.0100 | 16.0000 | 10.0000 | 0.1000 | 102.0000 | 263.0963 | 0.4475 | 86.0000 | 85.1581 | 0.0094 | 192.0000 | 353.0963 | 0.4475 | 1.7827 | 4.5982 | 0.4481 | 1.5030 | 1.4883 | 0.0093 | 3.3556 | 6.1711 | 0.4481 | 0.3014 | 0.3018 | 0.5183 | 0.5186
5.0000 | 0.0100 | 16.0000 | 10.0000 | 0.1000 | 350.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 80.0000 |    NaN | 1.0000 | 6.1170 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.3982 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.5183 | 0.5186
6.0000 | 0.0100 | 16.0000 | 10.0000 | 0.1000 | 359.0000 | 185.9231 | 0.4808 | 40.0000 | 68.3556 | 0.3151 | 89.0000 | 275.9231 | 0.5192 | 6.2743 | 3.2494 | 0.4814 | 0.6991 | 1.1947 | 0.3155 | 1.5555 | 4.8224 | 0.5199 | 0.4384 | 0.4389 | 0.5183 | 0.5186
1.0000 | 0.0100 | 19.0000 | 10.0000 | 0.1000 | 87.0000 | 280.8841 | 0.5386 | 89.0000 | 89.7909 | 0.0088 | 177.0000 | 10.8841 | 0.4614 | 1.5205 | 4.9091 | 0.5393 | 1.5555 | 1.5693 | 0.0088 | 3.0935 | 0.1902 | 0.4621 | 0.3363 | 0.3367 | 0.5198 | 0.5201
2.0000 | 0.0100 | 19.0000 | 10.0000 | 0.1000 | 4.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 94.0000 |    NaN | 1.0000 | 0.0699 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.6429 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.5198 | 0.5201
3.0000 | 0.0100 | 19.0000 | 10.0000 | 0.1000 | 339.0000 | 351.3567 | 0.0343 | 87.0000 | 89.9840 | 0.0332 | 69.0000 | 81.3567 | 0.0343 | 5.9248 | 6.1407 | 0.0344 | 1.5205 | 1.5727 | 0.0332 | 1.2059 | 1.4219 | 0.0344 | 0.0339 | 0.0340 | 0.5198 | 0.5201
4.0000 | 0.0100 | 19.0000 | 10.0000 | 0.1000 | 102.0000 | 263.0963 | 0.4475 | 86.0000 | 85.1581 | 0.0094 | 192.0000 | 353.0963 | 0.4475 | 1.7827 | 4.5982 | 0.4481 | 1.5030 | 1.4883 | 0.0093 | 3.3556 | 6.1711 | 0.4481 | 0.3014 | 0.3018 | 0.5198 | 0.5201
5.0000 | 0.0100 | 19.0000 | 10.0000 | 0.1000 | 350.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 80.0000 |    NaN | 1.0000 | 6.1170 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.3982 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.5198 | 0.5201
6.0000 | 0.0100 | 19.0000 | 10.0000 | 0.1000 | 359.0000 | 185.9608 | 0.4807 | 40.0000 | 70.7445 | 0.3416 | 89.0000 | 275.9608 | 0.5193 | 6.2743 | 3.2501 | 0.4813 | 0.6991 | 1.2364 | 0.3421 | 1.5555 | 4.8230 | 0.5200 | 0.4472 | 0.4478 | 0.5198 | 0.5201
1.0000 | 0.0100 | 22.0000 | 10.0000 | 0.1000 | 87.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 177.0000 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 3.0935 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.5730 | 0.5733
2.0000 | 0.0100 | 22.0000 | 10.0000 | 0.1000 | 4.0000 | 356.5946 | 0.9794 | 89.0000 | 84.8450 | 0.0462 | 94.0000 | 86.5946 | 0.0206 | 0.0699 | 6.2323 | 0.9808 | 1.5555 | 1.4829 | 0.0462 | 1.6429 | 1.5134 | 0.0206 | 0.3487 | 0.3492 | 0.5730 | 0.5733
3.0000 | 0.0100 | 22.0000 | 10.0000 | 0.1000 | 339.0000 | 2.2413 | 0.9354 | 87.0000 | 88.9354 | 0.0215 | 69.0000 | 92.2413 | 0.0646 | 5.9248 | 0.0392 | 0.9367 | 1.5205 | 1.5543 | 0.0215 | 1.2059 | 1.6121 | 0.0647 | 0.3405 | 0.3410 | 0.5730 | 0.5733
4.0000 | 0.0100 | 22.0000 | 10.0000 | 0.1000 | 102.0000 | 263.0963 | 0.4475 | 86.0000 | 85.1581 | 0.0094 | 192.0000 | 353.0963 | 0.4475 | 1.7827 | 4.5982 | 0.4481 | 1.5030 | 1.4883 | 0.0093 | 3.3556 | 6.1711 | 0.4481 | 0.3014 | 0.3018 | 0.5730 | 0.5733
5.0000 | 0.0100 | 22.0000 | 10.0000 | 0.1000 | 350.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 80.0000 |    NaN | 1.0000 | 6.1170 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.3982 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.5730 | 0.5733
6.0000 | 0.0100 | 22.0000 | 10.0000 | 0.1000 | 359.0000 | 185.9608 | 0.4807 | 40.0000 | 70.7445 | 0.3416 | 89.0000 | 275.9608 | 0.5193 | 6.2743 | 3.2501 | 0.4813 | 0.6991 | 1.2364 | 0.3421 | 1.5555 | 4.8230 | 0.5200 | 0.4472 | 0.4478 | 0.5730 | 0.5733
1.0000 | 0.0100 | 25.0000 | 10.0000 | 0.1000 | 87.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 177.0000 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 3.0935 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.5732 | 0.5735
2.0000 | 0.0100 | 25.0000 | 10.0000 | 0.1000 | 4.0000 | 356.5946 | 0.9794 | 89.0000 | 84.8450 | 0.0462 | 94.0000 | 86.5946 | 0.0206 | 0.0699 | 6.2323 | 0.9808 | 1.5555 | 1.4829 | 0.0462 | 1.6429 | 1.5134 | 0.0206 | 0.3487 | 0.3492 | 0.5732 | 0.5735
3.0000 | 0.0100 | 25.0000 | 10.0000 | 0.1000 | 339.0000 | 180.6975 | 0.4397 | 87.0000 | 89.2488 | 0.0250 | 69.0000 | 270.6975 | 0.5603 | 5.9248 | 3.1581 | 0.4403 | 1.5205 | 1.5598 | 0.0250 | 1.2059 | 4.7310 | 0.5610 | 0.3417 | 0.3421 | 0.5732 | 0.5735
4.0000 | 0.0100 | 25.0000 | 10.0000 | 0.1000 | 102.0000 | 263.0963 | 0.4475 | 86.0000 | 85.1581 | 0.0094 | 192.0000 | 353.0963 | 0.4475 | 1.7827 | 4.5982 | 0.4481 | 1.5030 | 1.4883 | 0.0093 | 3.3556 | 6.1711 | 0.4481 | 0.3014 | 0.3018 | 0.5732 | 0.5735
5.0000 | 0.0100 | 25.0000 | 10.0000 | 0.1000 | 350.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 80.0000 |    NaN | 1.0000 | 6.1170 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.3982 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.5732 | 0.5735
6.0000 | 0.0100 | 25.0000 | 10.0000 | 0.1000 | 359.0000 | 185.9608 | 0.4807 | 40.0000 | 70.7445 | 0.3416 | 89.0000 | 275.9608 | 0.5193 | 6.2743 | 3.2501 | 0.4813 | 0.6991 | 1.2364 | 0.3421 | 1.5555 | 4.8230 | 0.5200 | 0.4472 | 0.4478 | 0.5732 | 0.5735
1.0000 | 0.0100 | 28.0000 | 10.0000 | 0.1000 | 87.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 177.0000 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 3.0935 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.7992 | 0.7994
2.0000 | 0.0100 | 28.0000 | 10.0000 | 0.1000 | 4.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 94.0000 |    NaN | 1.0000 | 0.0699 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.6429 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.7992 | 0.7994
3.0000 | 0.0100 | 28.0000 | 10.0000 | 0.1000 | 339.0000 |    NaN | 1.0000 | 87.0000 |    NaN | 1.0000 | 69.0000 |    NaN | 1.0000 | 5.9248 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.2059 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.7992 | 0.7994
4.0000 | 0.0100 | 28.0000 | 10.0000 | 0.1000 | 102.0000 | 270.0000 | 0.4667 | 86.0000 | 90.0000 | 0.0444 | 192.0000 | 0.0000 | 0.5333 | 1.7827 | 4.7188 | 0.4673 | 1.5030 | 1.5730 | 0.0445 | 3.3556 | 0.0000 | 0.5341 | 0.3481 | 0.3486 | 0.7992 | 0.7994
5.0000 | 0.0100 | 28.0000 | 10.0000 | 0.1000 | 350.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 80.0000 |    NaN | 1.0000 | 6.1170 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.3982 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.7992 | 0.7994
6.0000 | 0.0100 | 28.0000 | 10.0000 | 0.1000 | 359.0000 | 185.9608 | 0.4807 | 40.0000 | 70.7445 | 0.3416 | 89.0000 | 275.9608 | 0.5193 | 6.2743 | 3.2501 | 0.4813 | 0.6991 | 1.2364 | 0.3421 | 1.5555 | 4.8230 | 0.5200 | 0.4472 | 0.4478 | 0.7992 | 0.7994
