===========================================================================================================================================================================================================================
      RP |      scs |        k |    theta |      psi | st_1_deg | st_2_deg | st_3_deg | da_1_deg | da_2_deg | da_3_deg | dd_1_deg | dd_2_deg | dd_3_deg | st_1_rad | st_2_rad | st_3_rad | da_1_rad | da_2_rad | da_3_rad | dd_1_rad | dd_2_rad | dd_3_rad | RP_z_deg | RP_z_rad | Tot_z_deg | Tot_z_rad
5.0000 | 0.0100 | 15.0000 | 10.0000 | 0.2100 | 350.0000 | 174.0937 | 0.4886 | 89.0000 | 89.8665 | 0.0096 | 80.0000 | 264.0937 | 0.5114 | 6.1170 | 3.0427 | 0.4893 | 1.5555 | 1.5706 | 0.0096 | 1.3982 | 4.6156 | 0.5121 | 0.3365 | 0.3370 | 0.4708 | 0.4710
6.0000 | 0.0100 | 15.0000 | 10.0000 | 0.2100 | 359.0000 | 185.9231 | 0.4808 | 40.0000 | 68.3556 | 0.3151 | 89.0000 | 275.9231 | 0.5192 | 6.2743 | 3.2494 | 0.4814 | 0.6991 | 1.1947 | 0.3155 | 1.5555 | 4.8224 | 0.5199 | 0.4384 | 0.4389 | 0.4708 | 0.4710
1.0000 | 0.0100 | 15.0000 | 10.0000 | 0.3100 | 87.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 177.0000 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 3.0935 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.6309 | 0.6310
2.0000 | 0.0100 | 15.0000 | 10.0000 | 0.3100 | 4.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 94.0000 |    NaN | 1.0000 | 0.0699 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.6429 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.6309 | 0.6310
3.0000 | 0.0100 | 15.0000 | 10.0000 | 0.3100 | 339.0000 |    NaN | 1.0000 | 87.0000 |    NaN | 1.0000 | 69.0000 |    NaN | 1.0000 | 5.9248 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.2059 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.6309 | 0.6310
4.0000 | 0.0100 | 15.0000 | 10.0000 | 0.3100 | 102.0000 | 97.3819 | 0.0128 | 86.0000 | 85.3557 | 0.0072 | 192.0000 | 187.3819 | 0.0128 | 1.7827 | 1.7020 | 0.0128 | 1.5030 | 1.4918 | 0.0071 | 3.3556 | 3.2749 | 0.0128 | 0.0109 | 0.0109 | 0.6309 | 0.6310
5.0000 | 0.0100 | 15.0000 | 10.0000 | 0.3100 | 350.0000 | 173.7725 | 0.4895 | 89.0000 | 89.7047 | 0.0078 | 80.0000 | 263.7725 | 0.5105 | 6.1170 | 3.0371 | 0.4902 | 1.5555 | 1.5678 | 0.0078 | 1.3982 | 4.6100 | 0.5112 | 0.3359 | 0.3364 | 0.6309 | 0.6310
6.0000 | 0.0100 | 15.0000 | 10.0000 | 0.3100 | 359.0000 | 185.9231 | 0.4808 | 40.0000 | 68.3556 | 0.3151 | 89.0000 | 275.9231 | 0.5192 | 6.2743 | 3.2494 | 0.4814 | 0.6991 | 1.1947 | 0.3155 | 1.5555 | 4.8224 | 0.5199 | 0.4384 | 0.4389 | 0.6309 | 0.6310
1.0000 | 0.0100 | 15.0000 | 10.0000 | 0.4100 | 87.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 177.0000 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 3.0935 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8351 | 0.8351
2.0000 | 0.0100 | 15.0000 | 10.0000 | 0.4100 | 4.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 94.0000 |    NaN | 1.0000 | 0.0699 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.6429 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8351 | 0.8351
