===========================================================================================================================================================================================================================
      RP |      scs |        k |    theta |      psi | st_1_deg | st_2_deg | st_3_deg | da_1_deg | da_2_deg | da_3_deg | dd_1_deg | dd_2_deg | dd_3_deg | st_1_rad | st_2_rad | st_3_rad | da_1_rad | da_2_rad | da_3_rad | dd_1_rad | dd_2_rad | dd_3_rad | RP_z_deg | RP_z_rad | Tot_z_deg | Tot_z_rad
5.0000 | 0.0300 | 15.0000 | 10.0000 | 0.1000 | 350.0000 | 345.1568 | 0.0135 | 89.0000 | 89.9243 | 0.0103 | 80.0000 | 75.1568 | 0.0135 | 6.1170 | 6.0324 | 0.0135 | 1.5555 | 1.5716 | 0.0103 | 1.3982 | 1.3135 | 0.0135 | 0.0124 | 0.0124 | 0.3988 | 0.3989
6.0000 | 0.0300 | 15.0000 | 10.0000 | 0.1000 | 359.0000 |    NaN | 1.0000 | 40.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 6.2743 |    NaN | 1.0000 | 0.6991 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.3988 | 0.3989
1.0000 | 0.0400 | 15.0000 | 10.0000 | 0.1000 | 87.0000 | 102.5404 | 0.0432 | 89.0000 | 86.8364 | 0.0240 | 177.0000 | 192.5404 | 0.0432 | 1.5205 | 1.7921 | 0.0432 | 1.5555 | 1.5177 | 0.0241 | 3.0935 | 3.3651 | 0.0432 | 0.0368 | 0.0368 | 0.6743 | 0.6743
2.0000 | 0.0400 | 15.0000 | 10.0000 | 0.1000 | 4.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 94.0000 |    NaN | 1.0000 | 0.0699 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.6429 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.6743 | 0.6743
3.0000 | 0.0400 | 15.0000 | 10.0000 | 0.1000 | 339.0000 |    NaN | 1.0000 | 87.0000 |    NaN | 1.0000 | 69.0000 |    NaN | 1.0000 | 5.9248 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.2059 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.6743 | 0.6743
4.0000 | 0.0400 | 15.0000 | 10.0000 | 0.1000 | 102.0000 |    NaN | 1.0000 | 86.0000 |    NaN | 1.0000 | 192.0000 |    NaN | 1.0000 | 1.7827 |    NaN | 1.0000 | 1.5030 |    NaN | 1.0000 | 3.3556 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.6743 | 0.6743
5.0000 | 0.0400 | 15.0000 | 10.0000 | 0.1000 | 350.0000 | 353.1047 | 0.0086 | 89.0000 | 89.8370 | 0.0093 | 80.0000 | 83.1047 | 0.0086 | 6.1170 | 6.1713 | 0.0086 | 1.5555 | 1.5701 | 0.0093 | 1.3982 | 1.4524 | 0.0086 | 0.0088 | 0.0089 | 0.6743 | 0.6743
6.0000 | 0.0400 | 15.0000 | 10.0000 | 0.1000 | 359.0000 |    NaN | 1.0000 | 40.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 6.2743 |    NaN | 1.0000 | 0.6991 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.6743 | 0.6743
1.0000 | 0.0500 | 15.0000 | 10.0000 | 0.1000 | 87.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 177.0000 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 3.0935 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8891 | 0.8892
2.0000 | 0.0500 | 15.0000 | 10.0000 | 0.1000 | 4.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 94.0000 |    NaN | 1.0000 | 0.0699 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.6429 |    NaN | 1.0000 | 1.0000 | 1.0000 | 0.8891 | 0.8892
